index,context,question,image,audio,code,A,B,C,D,correct,hint,set_question_id,tags
1,,"Trong bối cảnh kinh tế – kinh doanh hiện đại, dữ liệu được xem là gì?",,,,Một công cụ kỹ thuật,Một tài sản chiến lược,Một nguồn lực phụ trợ,Một yếu tố trang trí,B,,,
2,,Tư duy phân tích dữ liệu (data-analytic thinking) có vai trò gì trong ra quyết định?,,,,Tăng cường quyết định dựa trên cảm tính,Loại bỏ hoàn toàn kinh nghiệm cá nhân,"Định hình cách đặt câu hỏi, tổ chức phân tích và truyền đạt kết quả",Tăng cường sử dụng trực giác,C,,,
3,,Điều gì xảy ra khi thiếu nền tảng tư duy phân tích dữ liệu?,,,,Tăng khả năng phát hiện cơ hội kinh doanh,Dễ dẫn đến sai lầm mang tính hệ thống do thiên kiến nhận thức,Tăng cường hiệu quả phân tích dữ liệu,Quyết định luôn dựa trên bằng chứng,B,,,
4,,Thiên kiến xác nhận định kiến (confirmation bias) có thể dẫn đến hậu quả gì?,,,,Cải thiện chất lượng quyết định,Diễn giải thông tin một cách sai lệch,Tăng cường tư duy phân tích dữ liệu,Giảm thiểu rủi ro trong kinh doanh,B,,,
5,,Việc hiểu các nguyên lý khoa học dữ liệu giúp doanh nghiệp đạt được gì?,,,,Loại bỏ hoàn toàn chuyên gia dữ liệu,Tăng cường quyết định dựa trên trực giác,"Phát hiện cơ hội, phòng tránh rủi ro và ra quyết định dữ liệu hóa",Giảm sự phụ thuộc vào dữ liệu,C,,,
6,,Tại sao sở hữu dữ liệu không đủ để tạo lợi thế cạnh tranh?,,,,Vì dữ liệu không có giá trị trong kinh doanh,Vì cần tư duy phân tích dữ liệu để khai thác giá trị,Vì dữ liệu luôn thay đổi nhanh chóng,Vì dữ liệu chỉ dùng cho mục đích kỹ thuật,B,,,
7,,Hậu quả của việc ra quyết định dựa trên cảm tính là gì?,,,,Tăng tính chính xác của quyết định,Dễ dẫn đến sai lầm mang tính hệ thống,Tăng khả năng tương tác với chuyên gia dữ liệu,Giảm thời gian ra quyết định,B,,,
8,,Thiên kiến quá tự tin (overconfidence) có thể gây ra vấn đề gì?,,,,Dẫn đến quyết định không tối ưu hoặc hậu quả nghiêm trọng,Tăng cường khả năng phân tích dữ liệu,Giảm thiểu rủi ro trong kinh doanh,Cải thiện giao tiếp trong tổ chức,A,,,
9,,Tư duy phân tích dữ liệu giúp gì trong việc tương tác với nhóm chuyên gia dữ liệu?,,,,Loại bỏ nhu cầu làm việc với chuyên gia,Tăng cường khả năng hiểu và làm việc hiệu quả với chuyên gia,Giảm sự phụ thuộc vào dữ liệu,Tăng cường quyết định dựa trên trực giác,B,,,
10,,Việc thiếu hiểu biết về tư duy dữ liệu có thể dẫn đến hậu quả gì?,,,,Tăng cường năng lực cạnh tranh,"Hiểu sai, lãng phí nguồn lực, hoặc quyết định dựa trên trực giác",Cải thiện chiến lược kinh doanh,Tăng khả năng phát hiện cơ hội,B,,,
11,,Khoa học dữ liệu là lĩnh vực gì?,,,,"Một lĩnh vực liên ngành kết hợp toán-thống kê, khoa học máy tính, và kiến thức chuyên môn",Một công cụ kỹ thuật để xử lý dữ liệu,Một lĩnh vực chỉ tập trung vào khoa học máy tính,Một lĩnh vực chỉ liên quan đến thống kê,A,,,
12,,Trụ cột nào không nằm trong định nghĩa của khoa học dữ liệu?,,,,Quản lý nhân sự,Toán học và thống kê,Khoa học máy tính,Kiến thức chuyên môn,A,,,
13,,Vai trò trung tâm của dữ liệu trong khoa học dữ liệu là gì?,,,,Tạo giao diện phần mềm,Hỗ trợ ra quyết định,Lưu trữ thông tin kỹ thuật,Thay thế hoàn toàn con người,B,,,
14,,Bước đầu tiên trong chu trình khai thác dữ liệu là gì?,,,,Xác định bài toán,Thu thập dữ liệu,Xử lý dữ liệu,Xây dựng mô hình,A,,,
