index,context,question,image,audio,code,A,B,C,D,correct,hint,set_question_id,tags
1,,Đâu là phát biểu sai về ngôn ngữ java?,,,,Ngôn ngữ Java có phân biệt chữ hoa - chữ thường,Java là ngôn ngữ lập trình hướng đối tượng,Dấu chấm phẩy được sử dụng để kết thúc lệnh trong java,Chương trình viết bằng Java chỉ có thể chạy trên hệ điều hành win,,,,
2,,"Muốn chạy được chương trình java, CHỈ CẦN cài phần mềm nào sau đây?",,,,IntelliJ IDEA,Eclipse,JDK,JRE,,,,
3,,Cấu tạo CPU không bao gồm?,,,,ALU,RAM,CU,Cache,,,,
4,,Kiến trúc máy ảo Java không gồm những phần nào?,,,,Classloader,JVM memory,Execution engine,JDK,,,,
5,,Máy ảo Java là gì?,,,,Một Engine cung cấp Runtime Environment (môi trường chạy mã) để điều khiển mã Java hoặc các ứng dụng.,Nó chuyển đổi Java Bytecode thành ngôn ngữ máy tính hiểu được.,Là một phần của JRE,Tất cả các phương án đều đúng,,,,
6,,Đâu là cú pháp chuẩn của hàm main?,,,,static void main(String args),public void main(String[] args),public static void main (String[] args),static void main(String ... args),,,,
7,,Để sử dụng một gói thư viện sử dụng lệnh,,,,library,use,include,import,,,,
8,,Phiên bản Java LTS là gì?,,,,Là phiên bản Java được hỗ trợ dài hạn,Là phiên bản Java mới nhất,Là phiên bản Java thử nghiệm,Là phiên bản Java miễn phí,,,,
9,,Để biên dịch file java sử dụng lệnh:,,,,java,compile,build,javac,,,,
10,,Java là ngôn ngữ lập trình:,,,,Thông dịch,Biên dịch,Thông dịch và biên dịch,Hướng thủ tục,,,,
11,,Đâu là kiểu dữ liệu phù hợp cho số 20.15?,,,,long,short,Integer,float,,,,
12,,Toán tử gán được sử dụng để:,,,,Gán một giá trị cho một biến,Gán một câu lệnh cho một phương thức,Gán tên cho một giá trị,Gán một giá trị cho một biểu thức,,,,
13,,Kiểu dữ liệu byte có phạm vi:,,,,0 đến 256,Từ 0 đến 128,Từ 0 đến 8,Từ -128 đến 127,,,,
14,,Một biến trong java có thể chứa:,,,,Ký tự $,Ký tự @,Ký tự -,Ký tự %,,,,
15,,Từ khóa/ lệnh break được dùng để:,,,,Phá vỡ một khối lệnh,Bỏ qua một lượt lặp,Thoát ra khỏi vòng lặp hoặc khối lệnh switch,Kết thúc một lệnh rẽ nhánh,,,,
16,,Đâu không phải là một lớp Wrapper (Wrapper class)?,,,,Integer,Byte,String,Float,,,,
17,,Khai báo một hằng số sử dụng từ khóa:,,,,static,final,const,constant,,,,
18,,Một biến double sử dụng bao nhiêu byte?,,,,2,4,8,16,,,,
19,,Đối tượng Scanner được sử dụng để:,,,,Tìm kiếm thông tin từ các biến,Quét các lỗi có thể xảy ra,Quét dữ liệu từ một stream đầu vào,Lấy thông tin từ mảng,,,,
20,,Tên một gói có thể chứa:,,,,Dấu chấm .,Dấu chấm than !,Dấu ngoặc nhọn {},Dấu phần trăm %,,,,
21,,Hãy cho biết kết quả khi thực hiện đoạn mã sau :,,,"int a = -10;
int b = a < 0 ? -a : a;
System.out.println(""a = "" + b);",b = -10,b = 10,b = 0,b = 1,,,,
22,,Hãy cho biết kết quả thực hiện đoạn mã sau :,,,"for (int i = 0; i < 26; i++) {
    char letter = (char) ('a' + i);
    System.out.println(letter);
}",Hiển thị 25 chữ cái a,Hiển thị 26 chữ cái a,Hiển thị bảng chữ cái,Xuất hiện một lỗi biên dịch,,,,
23,,Hãy cho biết kết quả thực hiện đoạn mã sau:,,,"short high = Short.MAX_VALUE;
short low = Short.MIN_VALUE; 
System.out.println(high - low);",32767,0,65534,65535,,,,
24,,Hãy cho biết kết quả thực hiện đoạn mã sau:,,,"String strObj = new String(""NEU"");
String str = ""NEU"" ;
System.out.println(strObj.equals(str));",in ra: true,in ra: false,Lỗi biên dịch,in ra chữ NEU,,,,
25,,Hãy cho biết kết quả thực hiện đoạn mã sau?,,,"String strObj = new String(""NEU"");
String str = ""NEU"" ;
System.out.println(str == strObj);",in ra: true,in ra: false,Lỗi biên dịch,in ra chữ NEU,,,,
26,,Đâu là lệnh đúng để tạo một mảng?,,,,"int arr[] = {2, 4, 5}","int arr[] = {""0"",""1"",""2""}","int arr[] = [1, 3, 5]","int arr[] = (1, 2, 3)",,,,
27,,Đâu là cú pháp chuẩn để khai báo mảng hai chiều?,,,,int[] arr; arr = new int[5];,int[5][7] arr; arr = new int[][];,int[]  arr = new int[5][7];,int[][] arr; arr = new int[5][7];,,,,
28,,Từ khóa enum giúp định nghĩa:,,,,Dữ liệu kiểu mảng,Dữ liệu kiểu chuỗi,Dữ liệu dạng cấu trúc,Dữ liệu dạng liệt kê,,,,
29,,Biểu thức kiểm tra trong câu lệnh switch không thể chứa giá trị:,,,,String,enum,int,float,,,,
30,,Đâu là câu lệnh đúng để khai báo một enum?,,,,"enum Season [SPRING, SUMMER, FALL, WINTER]","enum Season ""SPRING, SUMMER, FALL, WINTER""","enum Season (SPRING, SUMMER, FALL, WINTER)","enum Season {SPRING, SUMMER, FALL, WINTER}",,,,
31,,Muốn thoát ra khỏi vòng lặp ngoài của cấu trúc lặp lồng nhau có thể sử dụng:,,,,Lệnh continue,Lệnh break kèm nhãn,Lệnh exit,Lệnh stop kèm vị trí kết thúc,,,,
32,,Vòng lặp kiểm tra điều kiện rồi mới thực hiện lệnh là vòng lặp:,,,,while,do while,for,loop,,,,
33,,Hãy cho biết khai báo mảng nào là đúng?,,,"double[] a1 = new double[] { ""4.56"", 332.267, 7.0, 0.3367, 10.0 };
String a2 = new String[] { ""a"", ""b"", ""c"" };
Object[] a3 = new Object[] { new Object(), ""Love"", 3};",mảng a1,mảng a2,mảng a3,Tất cả các mảng đều khai báo sai cú pháp,,,,
34,,Đâu không phải là quy tắc của một “hộp đen”?,,,,"Giao diện của hộp đen nên đơn giản, rõ ràng và dễ hiểu",Hộp đen cần phải che dấu toàn bộ thông tin và dữ liệu bên trong để đảm bảo sự an toàn của chương trình,"Để sử dụng hộp đen, không cần biết bất cứ điều gì về cách thực hiện của nó; tất cả những gì cần biết là giao diện của nó.",Người triển khai hộp đen không cần biết quá nhiều về các hệ thống lớn hơn mà hộp sẽ được sử dụng.,,,,
35,,Từ khóa static dùng để:,,,,Tạo một khối lệnh tĩnh,Tạo một lớp tĩnh,Tạo một đối tượng tĩnh,Tạo một phương thức tĩnh,,,,
36,,Đâu là khẳng định chính xác về biến tĩnh?,,,,Biến tĩnh phải được gọi thông qua đối tượng,Biến tĩnh có thể được truy cập bởi phương thức tĩnh,Biến tĩnh được tạo ra mỗi khi đối tượng ở trạng thái tĩnh,Biến tĩnh không thể thay đổi giá trị và luôn được khai báo kèm từ khóa final,,,,
37,,Từ khóa catch được sử dụng để:,,,,Chụp một ngoại lệ,Điều hướng khối lệnh,Bắn ngoại lệ,Bắt một địa chỉ của lỗi,,,,
38,,Từ khóa finally được sử dụng để:,,,,Kết thúc hàm và trả về giá trị,Kết thúc một vòng lặp,Tạo một khối lệnh luôn được thực hiện khi có ngoại lệ,Kết thúc một chuỗi xử lý,,,,
39,,Để ném ra một ngoại lệ dùng từ khóa:,,,,throws,catch,try,throw,,,,
40,,Chồng phương thức là:,,,,Việc gọi liên tiếp các phương thức nhằm thực hiện một công việc cụ thể,Việc để các phương thức chồng lên nhau,Việc khai báo lại một phương thức đã có ở lớp cha,Việc khai báo các phương thức trùng tên nhưng khác nhau tham số đầu vào,,,,
41,,Tham số linh động là tham số:,,,,Có thể khai báo nhiều trong một phương thức,Linh động về kích thước,Có thể linh động về kiểu,Luôn được khai báo ở cuối cùng trong danh sách tham số truyền vào,,,,
42,,Tham số dòng lệnh là tham số:,,,,Tham số của hàm main,Tham số truyền vào kết thúc chương trình,Có dạng mảng số nguyên,Tất cả các phương án trên đều sai,,,,
43,,Java docs được tạo ra bởi lệnh:,,,,javadoc,javadocument,javahelp,javadocs,,,,
44,,Hãy cho biết kết quả thực hiện đoạn mã sau :,,,,Hiển thị 9 dấu *,Hiển thị 10 dấu *,Lỗi biên dịch,Lỗi khi chạy,,,,
45,,Từ khóa super được sử dụng để:,,,,Tham chiếu tới giao diện,Tham chiếu tới lớp con,Tham chiếu tới lớp cha,Tham chiếu tới siêu đối tượng,,,,
46,,"Để kiểm tra một đối tượng có phải là thể hiện của một lớp hay không, dùng:",,,,instanceof,typeof,isclass,classof,,,,
47,,Từ khóa abstract được sử dụng để:,,,,Trừu tượng hóa một khối lệnh,Tạo lớp hoặc phương thức trừu tượng,Ngăn cản việc kế thừa,Không cho phép truy cập thuộc tính,,,,
48,,"Để một lớp kế thừa một lớp khác, sử dụng từ khóa:",,,,extends,implements,abstract,inherit,,,,
49,,Muốn một thuộc tính không được truy cập bên ngoài lớp sử dụng từ khóa:,,,,private,protected,lockaccess,default,,,,
50,,Chỉ định truy cập protected dùng để:,,,,Bảo vệ một thuộc tính khỏi sự thay đổi,Cho phép lớp kế thừa có thể truy cập,Ngăn việc truy cập bởi các lớp trong cùng package,Ngăn việc truy cập bởi các lớp con,,,,
51,,Phương thức getter và setter được dùng để:,,,,Lấy và thiết lập giá trị cho đối tượng,Thiết lập quyền truy cập,Ngăn không cho truy cập vào biến,Tùy chỉnh quyền truy cập thuộc tính,,,,
52,,Đâu là phát biểu sai về phương thức khởi tạo?,,,,Phương thức khởi tạo có tên giống với tên lớp,Phương thức khởi tạo không cho kế thừa,Phương thức khởi tạo phải luôn đi kèm phương thức hủy,Một lớp có thể có nhiều phương thức khởi tạo,,,,
53,,Tính đa hình thể hiện việc:,,,,Một đối tượng chỉ có thể có một hành vi duy nhất,Một đối tượng có thể kế thừa nhiều lần,Một đối tượng có thể ở nhiều hình thái khác nhau,Một đối tượng có thể liên quan tới nhiều đối tượng khác,,,,
54,,Hãy cho biết kết quả hiển thị khi chạy chương trình sau :,,,"class Person {
    private String name;
    public String getName() {
        if(name.length()>16)
            return ""Name is too long!"";
        else
            return name;
    }
    public void setName(String name) {
        if(name!=null && name.length()>2)
            this.name = name;
    }
}
public class Program {
    public static void main(String[] args) {
        Person person = new Person();
        person.setName(""Nguyen Van Thanh"");
        System.out.println(person.getName());
    }
}",Xảy ra một ngoại lệ,Xảy ra một lỗi biên dịch,Màn hình hiển thị Name is too long,Màn hình hiển thị Nguyen Van Thanh,,,,
55,,Hãy cho biết điều gì xảy ra khi biên dịch/chạy đoạn mã sau :,,,"interface MyInterface {
    int x = 1;
}

public class MyClass {
    public static void main(String[] args) {
        MyInterface.x = 2;
        System.out.println(MyInterface.x);
    }
}",In ra giá trị 1,In ra giá trị 2,Lỗi khi biên dịch,Lỗi khi chạy,,,,
56,,Hãy cho biết kết quả thực hiện đoạn mã sau :,,,"class Parent {
    private String name;
    private int age;
    public Parent() {}
}

class Child extends Parent {
    public Child() {
        name = ""John"";
        age = 42;
    }

    public static void main(String[] args) {
        Child child = new Child();
        System.out.println(child);
    }
}",Lỗi biên dịch,John 42,"{name:""John"", age:42}",Child@xxxxxx trong đó xxxxxx là một dãy số,,,,
57,,Hãy cho biết kết quả thực hiện đoạn mã sau :,,,"public class Program {
    int field1, field2;
    String field3;
    public Program(int i, int j, String k) {
        field1 = i;
        field2 = j;
        field3 = k;
    }
    public static void main(String[] args) {
        Program foo1 = new Program(0, 0, ""bar"");
        Program foo2 = new Program(0, 0, ""bar"");
        System.out.println(foo1.equals(foo2)); // prints false
    }
}",false,true,Lỗi biên dịch,Chương trình đưa một ngoại lệ,,,,
58,,Hãy cho biết kết quả thực hiện đoạn mã sau :,,,"public interface MyInterface {
    void method1();
    int method2();
    String TEXT = ""Hello"" ;
    int ANSWER = 42;
    static void main(String[] args) {
        System.out.println(TEXT);
    }
}",In ra chữ Hello,Lỗi biên dịch,Chương trình đưa một ngoại lệ,In ra chữ TEXT,,,,
59,,Đâu là hạn chế của việc lập trình tổng quát sử dụng kế thừa?,,,,Phải ép kiểu trong nhiều trường hợp,Mã lệnh dài,Kiểm tra kiểu quá chặt chẽ,Chưa đủ tính tổng quát,,,,
60,,"Trong quy ước đặt tên cho các tham số kiểu, T đại diện cho:",,,,Giá trị,Số,Khóa,Kiểu chung,,,,
61,,Từ khóa var được sử dụng:,,,,Từ phiên bản java 1,Từ phiên bản java 4,Từ phiên bản java 8,Từ phiên bản java 10,,,,
62,,Khi tạo đối tượng từ lớp tổng quát:,,,,Sử dụng một kiểu tổng quát,Không cần chỉ định đối số kiểu,Cần chỉ định đối số kiểu,Chỉ định sử dụng kiểu dữ liệu cơ sở,,,,
63,,Phương thức tổng quát là phương thức:,,,,Chỉ có thể nằm trong một lớp tổng quát,Có thể đặt trong một lớp thường,Bắt buộc phải là phương thức tĩnh,Được ghi đè từ một phương thức tổng quát,,,,
64,,Để giới hạn kiểu khi khai báo một lớp tổng quát sử dụng từ khóa:,,,,extends,limit,implements,instanceof,,,,
65,,Khởi tạo một Danh sách (List):,,,,Bắt buộc phải khai báo kích thước,Phải khởi tạo các giá trị và không thể thay đổi sau đó,Giống như khởi tạo một đối tượng,Cần khai báo kiểu của các phần tử,,,,
66,,Sự khác sau giữa Set và List là:,,,,List luôn tối ưu về mặt lưu trữ dữ liệu,Set luôn sắp xếp các phần tử,"List cho phép các phần tử trùng nhau, Set thì không",Khác nhau về tốc độ thực hiện,,,,
67,,Danh sách bất biến (Immutable list) được tạo ra bởi:,,,,new ArrayList(),List.of(),List.imutable(),LinkedList,,,,
68,,ArrayList hoạt động nhanh hơn LinkedList khi gọi hàm:,,,,get,add,remove,search,,,,
69,,TreeSet có đặc điểm gì:,,,,Tổ chức các phần tử theo danh sách,Luôn sắp xếp các phần tử theo giá trị,Cho phép các phần tử trùng nhau,Sắp xếp các phần tử theo giá trị băm,,,,
70,,Hãy cho biết hàm makelist có thể truyền biến t1 t2 kiểu gì?,,,"public static <T> List<T> makeList(T t1, T t2) {
    List<T> result = new ArrayList<T>();
    result.add(t1);
    result.add(t2);
    return result;
}",Dữ liệu cơ sở,Đối tượng,Số hoặc chuỗi,Danh sách,,,,
71,,Hãy cho biết kết quả thực hiện đoạn mã sau:,,,"public abstract class Component {
    private int x, y;
    int Component(int x, int y){
        return x+ y;
    }
    public static void main(String[] args) {
        Component component = new Component(3,4);
        System.out.println(component);

    }
}",In ra giá trị 7,Chương trình đưa ra một ngoại lệ,In ra tổng x và y,Lỗi biên dịch,,,,
72,,Hãy cho biết kết quả thực hiện đoạn mã sau:,,,"class Car {
    public int gearRatio = 8;
    public String accelerate() {
        return ""car"";
    }
}

public class SportsCar extends Car {
    public int gearRatio = 9;
    public String accelerate() {
        return ""accelerate"" ;
    }
    public static void main(String[] args) {
        Car car = new SportsCar();
        System.out.println(car.gearRatio + "" "" + car.accelerate());
    }
}",In ra số: 8,In ra dòng chữ: 8 car,In ra dòng chữ: 8 accelerate,Đoạn mã có lỗi biên dịch,,,,
73,,Hãy cho biết kết quả thực hiện đoạn mã sau:,,,"List<String> fruits = new ArrayList<String>();
fruits.add(""Apple"");
fruits.add(""Banana"");
fruits.add(""Strawberry"");

for (String fruit : fruits) {
    System.out.println(fruit);
    if (""Apple"".equals(fruit)) {
        fruits.remove(fruit);
    }
}",Xóa Apple khỏi danh sách,Xóa các chuỗi trừ Apple khỏi danh sách,Xóa toàn bộ các phần tử trong danh sách,Xuất hiện ngoại lệ ConcurrentModificationException,,,,
74,,Các lớp để thực hiện vào/ra được khai báo trong gói:,,,,java.io,java.stream,java.file,java.in và java.out,,,,
75,,Một InputStream được sử dụng để:,,,,Đọc dữ liệu nhị phân,Ghi dữ liệu nhị phân,Đọc dữ liệu văn bản,Ghi dữ liệu văn bản,,,,
76,,BufferReader được sử dụng để:,,,,Đọc dữ liệu nhị phân,Ghi dữ liệu nhị phân,Đọc dữ liệu văn bản,Ghi dữ liệu văn bản,,,,
77,,FileOutputStream được dùng để:,,,,Đọc dữ liệu trong dòng (stream),Đọc dữ liệu nhị phân,Ghi dữ liệu văn bản,Ghi dữ liệu ra file,,,,
78,,"Để ghi một số double vào file, nên dùng phương thức của lớp gì?",,,,DataOutputStream,BufferedInputStream,BufferDataStream,NumberStream,,,,
79,,"Muốn nâng cao hiệu năng, tốc độ vào/ra:",,,,Nên sử dụng kiểu dữ liệu nhị phân,Nên sử dụng các lớp dùng bộ đệm (Buffered class),Nên dùng dữ liệu dạng nguyên thủy,Nên tạo ra nhiều tiến trình để vào ra,,,,
80,,Một đối tượng muốn ghi ra file thì:,,,,Lớp tạo ra đối tượng phải kế thừa từ lớp Serializable,Lớp tạo ra đối tượng phải kế thừa từ lớp Writeable,Lớp tạo ra đối tượng phải triển khai từ giao diện Serializable,Lớp tạo ra đối tượng phải triển khai từ giao diện Writeable,,,,
81,,Lớp File có thể được dùng dể,,,,Đọc dữ liệu trong file,Lấy thông tin về File và thư mục,Ghi dữ liệu ra File,Quét và tìm kiếm dữ liệu từ File,,,,
82,,Để vào ra dữ liệu trên mạng:,,,,Bắt buộc phải dùng các lớp trong java.nio,Phải dùng đối tượng Scanner,Cần phải dùng tới lớp OnlineStream,Cần phải mở một InputStream liên kết đến nguồn dữ liệu trên mạng,,,,
83,,Hãy cho biết kết quả thực hiện đoạn mã sau :,,,"File someFile = new File(""test.txt"");
int aCount = 0;
try (FileReader fr = new FileReader(someFile);
     BufferedReader br = new BufferedReader(fr)) {
    int ch;
    while ((ch = br.read()) != -1) {
        if (ch == 'i') {
            aCount++;
        }
    }
    System.out.println(aCount);
}",In ra số chữ i trong file test,In ra chữ i,Copy file test.txt vào bộ nhớ Buffer,Ghi chữ i vào file test.txt,,,,
84,,Hãy cho biết kết quả thực hiện đoạn mã sau :,,,"try {
    Scanner scanner = new Scanner(new File(""test.txt""));
    while (scanner.hasNextLine()) {
        String line = scanner.nextLine();
        System.out.println(line);
    }
} catch (FileNotFoundException e) {
    e.printStackTrace();
}",Đọc file test.txt và in ra màn hình,Đếm số dòng trong file test.txt,Kiểm tra sự tồn tại của file test.txt,Quét và đếm số ký tự trong file test.txt,,,,
85,,Tiểu trình khác gì tiến trình?,,,,Tiểu trình dùng riêng một không gian bộ nhớ,Tiểu trình dùng chung không gian bộ nhớ,Tiểu trình chứa nhiều tiến trình bên trong,Tiểu trình chạy chậm hơn tiến trình,,,,
86,,Tiểu trình được tạo ra bằng cách:,,,,Khai báo lớp triển khai từ giao diện Runnable,Khai báo lớp kế thừa từ lớp Thread,Sử dụng cách tạo tiểu trình vô danh,Các đáp án trên đều đúng,,,,
87,,Tiểu trình ở trạng thái running khi:,,,,Nó đang chạy và phục vụ bởi CPU,Nó đang chờ đợi một tiểu trình khác,Nó đang bị khóa hoặc đang đợi một hoạt động vào ra,Các đáp án trên đều đúng,,,,
88,,Phương thức join được dùng để:,,,,Thông báo các tiểu trình dừng chờ đợi tiếp và tục làm việc,Kiểm tra xem một tiến trình còn sống (alive) hay không,Chờ một tiến trình khác giải phóng (release) tài nguyên,Chờ một tiến trình khác kết thúc,,,,
89,,Từ khóa synchronized được dùng để:,,,,Giải quyết vấn đề về bất đồng bộ,Đồng bộ hóa việc truy cập dữ liệu,Đảm bảo một luồng duy nhất thực hiện một khối lệnh,Giải quyết vấn đề về deadlock,,,,
90,,Để khởi động một tiểu trình dùng phương thức:,,,,run(),action(),ready(),start(),,,,
91,,Một trong những mục đích của lập trình đa luồng là:,,,,Tăng tốc độ tính toán,Tận dụng được tối đa tài nguyên của máy tính,Thực hiện nhiều công việc một lúc,Tất cả các đáp án đều đúng,,,,
92,,Nhược điểm của đa luồng là:,,,,Việc xử lý phức tạp,Tốc độ bị giảm,Các công việc bị gián đoạn vì sử dụng chia sẻ thời gian,Tất cả các đáp án đều sai,,,,
93,,"Để tạo ra một luồng, khi nào thì triển khai từ giao diện Runnable thay vì kế thừa từ lớp Thread?",,,,Khi muốn viết mã ngắn hơn,Khi muốn tạo ra nhiều luồng hơn,Khi lớp chạy vẫn muốn kế thừa từ lớp khác,"Khi muốn mã lệnh được rõ ràng, tường minh",,,,
94,,Tiểu trình sẽ chuyển từ trạng thái new sang trạng thái running khi:,,,,Hệ điều hành cho phép tiểu trình hoạt động,Gọi hàm start(),Gọi hàm run(),Ngay sau khi tiểu trình được tạo ra,,,,
95,,Hãy cho biết số luồng sẽ thay đổi và in giá trị của biến i:,,,"class CountAndPrint implements Runnable {
    private final String name;

    CountAndPrint(String name) {
        this.name = name;
    }

    static int i = 0;

    @Override
    public void run() {
        while (i < 10) System.out.println(this.name + "": "" + i++);
    }

    public static void main(String[] args) {
        for (int t = 1; t <= 4; t++)
            new Thread(new CountAndPrint(""Instance "" + t)).start();
        while (i < 10) System.out.println(""Main: "" + i++);
    }
}",4,5,9,10,,,,
96,,Lambda expression có thể được sử dụng với loại nào của Java?,,,,Interface,Class,Abstract class,Tất cả đều đúng,,,,
97,,"Trong biểu thức lambda, input có thể có bao nhiêu tham số?",,,,Một,Hai,Ba,Tùy ý,,,,
98,,Biểu thức lambda trong Java được giới thiệu trong phiên bản nào của Java?,,,,Java 7,Java 8,Java 9,Java 10,,,,
99,,Lambda expression trong Java được sử dụng cho mục đích gì?,,,,Viết code ngắn gọn hơn,Tăng tốc độ thực thi chương trình,Giảm kích thước của file code,Cả A và B,,,,
100,,Lambda expression trong Java bao gồm những phần nào?,,,,"Tham số, operator và giá trị trả về","Tham số, biểu thức lambda và giá trị trả về",Biểu thức lambda và giá trị trả về,Chỉ có giá trị trả về,,,,
101,,Functional Interface trong Java được sử dụng để làm gì?,,,,Để đánh dấu một interface là abstract,Để định nghĩa các phương thức trừu tượng,Để định nghĩa các phương thức có thể sử dụng được Lambda,Để định nghĩa các phương thức có thể sử dụng được anonymous class,,,,
102,,Cú pháp để sử dụng Lambda với Functional Interface như thế nào?,,,,(parameters) -> expression,(parameters) -> { statement },(parameters) -> { return expression; },Tất cả đều đúng,,,,
103,,"Trong Method Reference, cú pháp nào sử dụng để tham chiếu tới một phương thức của một đối tượng cụ thể?",,,,object::method,ClassName::method,ClassName::new,object::new,,,,
104,,Optional trong Java là gì?,,,,Một kiểu dữ liệu,Một interface,Một lớp,Một hàm,,,,
105,,Lợi ích chính của Optional là gì?,,,,Tránh được NullPointerException,Tăng tốc độ xử lý,Tạo ra mã nguồn dễ đọc hơn,Đảm bảo tính toàn vẹn của dữ liệu,,,,
106,,Phương thức nào được sử dụng để lọc các phần tử của Stream dựa trên một điều kiện được cung cấp bởi một đối tượng Predicate?,,,,filter(),map(),reduce(),forEach(),,,,
107,,Phương thức nào được sử dụng để thực hiện một hoạt động trên từng phần tử của Stream và trả về một Stream mới chứa kết quả?,,,,filter(),map(),reduce(),forEach(),,,,
108,,Phương thức nào được sử dụng để giảm tập hợp phần tử của Stream thành một phần tử duy nhất bằng cách áp dụng một hoạt động nhất định trên các phần tử?,,,,filter(),map(),reduce(),forEach(),,,,
