QuestionID,Question,OptionA,OptionA_Explanation,OptionB,OptionB_Explanation,OptionC,OptionC_Explanation,OptionD,OptionD_Explanation,Answer,question.sources
1,"Trong bối cảnh kinh tế – kinh doanh hiện đại, dữ liệu được xem là gì?",Một công cụ kỹ thuật,"Sai: Dữ liệu không chỉ là công cụ kỹ thuật mà là tài sản chiến lược, mang lại giá trị lớn trong ra quyết định và cạnh tranh.",Một tài sản chiến lược,Đúng: Dữ liệu được xem là tài sản chiến lược vì nó đóng vai trò then chốt trong nâng cao hiệu quả và ra quyết định.,Một nguồn lực phụ trợ,Sai: Dữ liệu không chỉ là nguồn lực phụ trợ mà có vai trò cốt lõi trong chiến lược kinh doanh.,Một yếu tố trang trí,Sai: Dữ liệu không phải yếu tố trang trí mà có tác động trực tiếp đến vận hành và cạnh tranh.,B,introduction.csv
2,Tư duy phân tích dữ liệu (data-analytic thinking) có vai trò gì trong ra quyết định?,Tăng cường quyết định dựa trên cảm tính,Sai: Quyết định dựa trên cảm tính thường thiếu chính xác và không phải mục tiêu của tư duy phân tích dữ liệu.,Loại bỏ hoàn toàn kinh nghiệm cá nhân,Sai: Tư duy phân tích dữ liệu không loại bỏ kinh nghiệm mà bổ sung bằng chứng dữ liệu.,"Định hình cách đặt câu hỏi, tổ chức phân tích và truyền đạt kết quả","Đúng: Tư duy phân tích dữ liệu giúp đặt câu hỏi đúng, tổ chức phân tích và truyền đạt hiệu quả.",Tăng cường sử dụng trực giác,"Sai: Trực giác có thể dẫn đến sai lầm, trong khi tư duy phân tích dựa trên dữ liệu.",C,introduction.csv
3,Điều gì xảy ra khi thiếu nền tảng tư duy phân tích dữ liệu?,Tăng khả năng phát hiện cơ hội kinh doanh,Sai: Thiếu tư duy dữ liệu làm giảm khả năng phát hiện cơ hội vì thiếu phân tích dựa trên bằng chứng.,Dễ dẫn đến sai lầm mang tính hệ thống do thiên kiến nhận thức,"Đúng: Thiếu tư duy dữ liệu khiến quyết định dựa trên cảm tính hoặc thiên kiến, gây sai lầm hệ thống.",Tăng cường hiệu quả phân tích dữ liệu,"Sai: Thiếu tư duy dữ liệu làm giảm hiệu quả phân tích, không tăng cường nó.",Quyết định luôn dựa trên bằng chứng,Sai: Thiếu tư duy dữ liệu dẫn đến quyết định không dựa trên bằng chứng.,B,introduction.csv
4,Thiên kiến xác nhận định kiến (confirmation bias) có thể dẫn đến hậu quả gì?,Cải thiện chất lượng quyết định,"Sai: Confirmation bias làm sai lệch diễn giải thông tin, không cải thiện quyết định.",Diễn giải thông tin một cách sai lệch,"Đúng: Confirmation bias khiến con người ưu tiên thông tin phù hợp với niềm tin, dẫn đến diễn giải sai.",Tăng cường tư duy phân tích dữ liệu,Sai: Confirmation bias cản trở tư duy phân tích khách quan.,Giảm thiểu rủi ro trong kinh doanh,Sai: Confirmation bias làm tăng rủi ro do quyết định không chính xác.,B,introduction.csv
5,Việc hiểu các nguyên lý khoa học dữ liệu giúp doanh nghiệp đạt được gì?,Loại bỏ hoàn toàn chuyên gia dữ liệu,"Sai: Hiểu khoa học dữ liệu giúp tương tác với chuyên gia, không loại bỏ họ.",Tăng cường quyết định dựa trên trực giác,"Sai: Khoa học dữ liệu thúc đẩy quyết định dựa trên bằng chứng, không phải trực giác.","Phát hiện cơ hội, phòng tránh rủi ro và ra quyết định dữ liệu hóa","Đúng: Hiểu khoa học dữ liệu giúp doanh nghiệp ra quyết định dựa trên dữ liệu, phát hiện cơ hội và giảm rủi ro.",Giảm sự phụ thuộc vào dữ liệu,"Sai: Khoa học dữ liệu tăng cường sử dụng dữ liệu, không giảm phụ thuộc.",C,introduction.csv
6,Tại sao sở hữu dữ liệu không đủ để tạo lợi thế cạnh tranh?,Vì dữ liệu không có giá trị trong kinh doanh,Sai: Dữ liệu có giá trị lớn nhưng cần được phân tích đúng cách.,Vì cần tư duy phân tích dữ liệu để khai thác giá trị,Đúng: Sở hữu dữ liệu chỉ là bước đầu; tư duy phân tích dữ liệu mới tạo ra lợi thế cạnh tranh.,Vì dữ liệu luôn thay đổi nhanh chóng,Sai: Dữ liệu thay đổi nhanh nhưng không phải lý do chính; quan trọng là cách sử dụng.,Vì dữ liệu chỉ dùng cho mục đích kỹ thuật,"Sai: Dữ liệu có ứng dụng rộng trong chiến lược, không chỉ kỹ thuật.",B,introduction.csv
7,Hậu quả của việc ra quyết định dựa trên cảm tính là gì?,Tăng tính chính xác của quyết định,Sai: Quyết định dựa trên cảm tính thường thiếu chính xác do không dựa trên bằng chứng.,Dễ dẫn đến sai lầm mang tính hệ thống,"Đúng: Quyết định cảm tính dễ bị ảnh hưởng bởi thiên kiến, gây sai lầm hệ thống.",Tăng khả năng tương tác với chuyên gia dữ liệu,Sai: Quyết định cảm tính không liên quan đến việc tương tác với chuyên gia.,Giảm thời gian ra quyết định,Sai: Quyết định cảm tính có thể nhanh nhưng không đảm bảo chất lượng.,B,introduction.csv
8,Thiên kiến quá tự tin (overconfidence) có thể gây ra vấn đề gì?,Dẫn đến quyết định không tối ưu hoặc hậu quả nghiêm trọng,"Đúng: Quá tự tin khiến con người bỏ qua dữ liệu, dẫn đến quyết định sai lầm hoặc hậu quả nghiêm trọng.",Tăng cường khả năng phân tích dữ liệu,"Sai: Quá tự tin cản trở phân tích khách quan, không tăng cường nó.",Giảm thiểu rủi ro trong kinh doanh,Sai: Quá tự tin làm tăng rủi ro do bỏ qua bằng chứng.,Cải thiện giao tiếp trong tổ chức,Sai: Quá tự tin không liên quan đến cải thiện giao tiếp.,A,introduction.csv
9,Tư duy phân tích dữ liệu giúp gì trong việc tương tác với nhóm chuyên gia dữ liệu?,Loại bỏ nhu cầu làm việc với chuyên gia,"Sai: Tư duy phân tích giúp tương tác hiệu quả, không loại bỏ chuyên gia.",Tăng cường khả năng hiểu và làm việc hiệu quả với chuyên gia,Đúng: Hiểu tư duy dữ liệu giúp cá nhân giao tiếp và cộng tác tốt hơn với chuyên gia.,Giảm sự phụ thuộc vào dữ liệu,"Sai: Tư duy phân tích tăng cường sử dụng dữ liệu, không giảm phụ thuộc.",Tăng cường quyết định dựa trên trực giác,"Sai: Tư duy phân tích dựa trên dữ liệu, không phải trực giác.",B,introduction.csv
10,Việc thiếu hiểu biết về tư duy dữ liệu có thể dẫn đến hậu quả gì?,Tăng cường năng lực cạnh tranh,Sai: Thiếu tư duy dữ liệu làm giảm năng lực cạnh tranh do quyết định không dựa trên bằng chứng.,"Hiểu sai, lãng phí nguồn lực, hoặc quyết định dựa trên trực giác","Đúng: Thiếu tư duy dữ liệu gây hiểu sai, lãng phí và quyết định không tối ưu.",Cải thiện chiến lược kinh doanh,"Sai: Thiếu tư duy dữ liệu làm suy yếu chiến lược, không cải thiện.",Tăng khả năng phát hiện cơ hội,Sai: Thiếu tư duy dữ liệu làm giảm khả năng phát hiện cơ hội.,B,introduction.csv
11,Khoa học dữ liệu là lĩnh vực gì?,"Một lĩnh vực liên ngành kết hợp toán-thống kê, khoa học máy tính, và kiến thức chuyên môn","Đúng: Khoa học dữ liệu là lĩnh vực liên ngành, kết hợp ba trụ cột này để khai thác giá trị từ dữ liệu.",Một công cụ kỹ thuật để xử lý dữ liệu,Sai: Khoa học dữ liệu không chỉ là công cụ mà là một phương pháp luận toàn diện.,Một lĩnh vực chỉ tập trung vào khoa học máy tính,Sai: Khoa học dữ liệu không chỉ tập trung vào khoa học máy tính mà kết hợp ba trụ cột.,Một lĩnh vực chỉ liên quan đến thống kê,"Sai: Thống kê chỉ là một phần, không phải toàn bộ khoa học dữ liệu.",A,section_1.1.1.csv
12,Trụ cột nào không nằm trong định nghĩa của khoa học dữ liệu?,Quản lý nhân sự,Đúng: Quản lý nhân sự không phải là trụ cột của khoa học dữ liệu.,Toán học và thống kê,Sai: Toán học và thống kê là một trong ba trụ cột chính của khoa học dữ liệu.,Khoa học máy tính,Sai: Khoa học máy tính là một trụ cột quan trọng của khoa học dữ liệu.,Kiến thức chuyên môn,Sai: Kiến thức chuyên môn là một trụ cột cần thiết để áp dụng khoa học dữ liệu đúng ngữ cảnh.,A,section_1.1.1.csv
13,Vai trò trung tâm của dữ liệu trong khoa học dữ liệu là gì?,Tạo giao diện phần mềm,Sai: Giao diện phần mềm không phải vai trò chính của dữ liệu trong khoa học dữ liệu.,Hỗ trợ ra quyết định,Đúng: Dữ liệu đóng vai trò trung tâm trong việc cung cấp thông tin để ra quyết định hiệu quả.,Lưu trữ thông tin kỹ thuật,Sai: Dữ liệu không chỉ để lưu trữ mà còn hỗ trợ ra quyết định và tạo lợi thế cạnh tranh.,Thay thế hoàn toàn con người,"Sai: Dữ liệu hỗ trợ con người, không thay thế hoàn toàn.",B,section_1.1.1.csv
14,Bước đầu tiên trong chu trình khai thác dữ liệu là gì?,Xác định bài toán,"Đúng: Bước đầu tiên là xác định rõ bài toán, mục tiêu kinh doanh, và các chỉ số đo lường thành công.",Thu thập dữ liệu,"Sai: Thu thập dữ liệu là bước thứ hai, sau khi xác định bài toán.",Xử lý dữ liệu,Sai: Xử lý dữ liệu diễn ra sau khi thu thập và khai phá dữ liệu.,Xây dựng mô hình,Sai: Xây dựng mô hình là bước sau khi dữ liệu đã được xử lý.,A,section_1.1.1.csv
15,Bước xác định bài toán bao gồm những hoạt động nào?,Hiểu mục tiêu kinh doanh và xác định chỉ số đo lường,Đúng: Bước này tập trung vào làm rõ mục tiêu và xác định các chỉ số đo lường thành công.,Làm sạch dữ liệu và chuẩn hóa,"Sai: Làm sạch và chuẩn hóa thuộc bước xử lý dữ liệu, không phải xác định bài toán.",Thu thập dữ liệu từ API,Sai: Thu thập dữ liệu là bước tiếp theo sau xác định bài toán.,Triển khai mô hình vào hệ thống,Sai: Triển khai mô hình là bước cuối cùng.,A,section_1.1.1.csv
16,Nguồn dữ liệu trong bước thu thập có thể bao gồm gì?,Chỉ dữ liệu từ báo cáo giấy,Sai: Dữ liệu không giới hạn ở báo cáo giấy mà bao gồm cả dữ liệu số hóa.,Chỉ cơ sở dữ liệu nội bộ,"Sai: Nguồn dữ liệu có thể đến từ nhiều nơi, không chỉ cơ sở dữ liệu nội bộ.","Cơ sở dữ liệu nội bộ, API, và web scraping","Đúng: Dữ liệu có thể được thu thập từ nhiều nguồn như hệ thống giao dịch, API, hoặc web scraping.",Chỉ dữ liệu có cấu trúc,Sai: Dữ liệu có thể là có cấu trúc hoặc phi cấu trúc.,C,section_1.1.1.csv
17,Yếu tố nào cần chú ý khi thu thập dữ liệu?,Quy định pháp lý và đạo đức về quyền riêng tư,Đúng: Thu thập dữ liệu cần tuân thủ các quy định pháp lý và đạo đức để bảo vệ quyền riêng tư.,Tối ưu hóa hiệu suất mô hình,"Sai: Tối ưu hóa mô hình thuộc bước xây dựng mô hình, không phải thu thập dữ liệu.",Lựa chọn thuật toán học máy,Sai: Lựa chọn thuật toán thuộc bước xây dựng mô hình.,Trực quan hóa dữ liệu,Sai: Trực quan hóa thuộc bước khai phá dữ liệu.,A,section_1.1.1.csv
18,Mục tiêu của bước khai phá dữ liệu là gì?,Làm sạch dữ liệu,Sai: Làm sạch dữ liệu thuộc bước xử lý dữ liệu.,Triển khai mô hình vào thực tiễn,Sai: Triển khai là bước cuối cùng.,Xây dựng mô hình dự đoán,Sai: Xây dựng mô hình là bước sau khai phá dữ liệu.,"Xác định xu hướng, mối tương quan, và giá trị ngoại lệ",Đúng: Khai phá dữ liệu nhằm hiểu đặc điểm tổng quát của dữ liệu thông qua phân tích thống kê và trực quan hóa.,D,section_1.1.1.csv
19,Bước xử lý dữ liệu bao gồm những hoạt động nào?,"Làm sạch dữ liệu, chuẩn hóa, và tạo đặc trưng mới","Đúng: Xử lý dữ liệu bao gồm làm sạch, chuẩn hóa, mã hóa, và tích hợp dữ liệu.",Xác định mục tiêu kinh doanh,Sai: Xác định mục tiêu thuộc bước xác định bài toán.,Thu thập dữ liệu từ API,Sai: Thu thập dữ liệu là bước trước xử lý.,Đánh giá hiệu quả mô hình,Sai: Đánh giá mô hình là bước sau xử lý dữ liệu.,A,section_1.1.1.csv
20,Việc lựa chọn thuật toán trong bước xây dựng mô hình phụ thuộc vào yếu tố nào?,Nguồn dữ liệu,"Sai: Nguồn dữ liệu ảnh hưởng đến thu thập, không phải lựa chọn thuật toán.",Chỉ số đo lường thành công,Sai: Chỉ số đo lường thuộc bước xác định bài toán và đánh giá mô hình.,Mục tiêu bài toán và bản chất dữ liệu,Đúng: Lựa chọn thuật toán dựa trên bài toán (có giám sát/không giám sát) và đặc điểm dữ liệu.,Quy định pháp lý,Sai: Quy định pháp lý liên quan đến thu thập dữ liệu.,C,section_1.1.1.csv
21,Dữ liệu trong bước xây dựng mô hình thường được chia thành những tập nào?,Tập dữ liệu thô và dữ liệu đã xử lý,Sai: Đây không phải cách chia dữ liệu trong xây dựng mô hình.,"Tập huấn luyện, kiểm tra, và kiểm định chéo",Đúng: Dữ liệu được chia thành các tập này để đảm bảo tính tổng quát của mô hình.,Tập dữ liệu có cấu trúc và phi cấu trúc,"Sai: Phân loại này thuộc về đặc điểm dữ liệu, không phải cách chia.",Tập dữ liệu nội bộ và bên ngoài,Sai: Đây là cách phân loại nguồn dữ liệu.,B,section_1.1.1.csv
22,Mục đích của việc tinh chỉnh siêu tham số trong xây dựng mô hình là gì?,Tối ưu hóa hiệu suất mô hình,Đúng: Tinh chỉnh siêu tham số giúp cải thiện độ chính xác và hiệu quả của mô hình.,Làm sạch dữ liệu,Sai: Làm sạch dữ liệu thuộc bước xử lý dữ liệu.,Thu thập dữ liệu mới,Sai: Thu thập dữ liệu không liên quan đến tinh chỉnh siêu tham số.,Trực quan hóa dữ liệu,Sai: Trực quan hóa thuộc bước khai phá dữ liệu.,A,section_1.1.1.csv
23,Bước đánh giá mô hình sử dụng những chỉ số nào?,"Độ chính xác, độ lỗi trung bình, hệ số xác định",Đúng: Các chỉ số này được dùng để đánh giá hiệu quả mô hình tùy theo bài toán.,Chỉ số đo lường thành công từ bước xác định bài toán,"Sai: Chỉ số đo lường thành công thuộc bước xác định bài toán, không phải đánh giá mô hình.",Số lượng dữ liệu thu thập được,Sai: Số lượng dữ liệu không phải là chỉ số đánh giá mô hình.,Tốc độ thu thập dữ liệu,Sai: Tốc độ thu thập không liên quan đến đánh giá mô hình.,A,section_1.1.1.csv
24,Yếu tố nào quan trọng khi đánh giá mô hình?,Mức độ khả giải và ý nghĩa thực tiễn,Đúng: Mô hình cần không chỉ chính xác mà còn phù hợp với thực tiễn.,Tốc độ triển khai mô hình,"Sai: Tốc độ triển khai thuộc bước triển khai, không phải đánh giá.",Số lượng nguồn dữ liệu,Sai: Số lượng nguồn dữ liệu liên quan đến thu thập dữ liệu.,Mức độ phức tạp của thuật toán,Sai: Độ phức tạp không phải yếu tố chính trong đánh giá.,A,section_1.1.1.csv
25,Bước triển khai mô hình thường bao gồm việc gì?,Đưa mô hình vào hệ thống phần mềm hoặc dashboard,Đúng: Triển khai mô hình đưa nó vào ứng dụng thực tiễn như phần mềm hoặc dashboard.,Làm sạch dữ liệu,Sai: Làm sạch dữ liệu thuộc bước xử lý dữ liệu.,Xác định bài toán,"Sai: Xác định bài toán là bước đầu tiên, không phải triển khai.",Khai phá dữ liệu,Sai: Khai phá dữ liệu là bước trước triển khai.,A,section_1.1.1.csv
26,Việc giám sát mô hình sau triển khai có mục đích gì?,Theo dõi hiệu suất và cập nhật mô hình,Đúng: Giám sát giúp đảm bảo mô hình duy trì độ chính xác khi dữ liệu thay đổi.,Thu thập dữ liệu mới,"Sai: Thu thập dữ liệu là bước riêng, không phải mục đích của giám sát.",Làm sạch dữ liệu,Sai: Làm sạch dữ liệu thuộc bước xử lý dữ liệu.,Xây dựng mô hình mới,Sai: Xây dựng mô hình mới không phải là mục đích chính của giám sát.,A,section_1.1.1.csv
27,Khoa học dữ liệu được định nghĩa là gì?,Một phương pháp luận để khai thác giá trị từ dữ liệu,"Đúng: Khoa học dữ liệu bao gồm các phương pháp và công cụ để xử lý, phân tích, và ra quyết định dựa trên dữ liệu.",Một tập hợp các công cụ kỹ thuật,Sai: Khoa học dữ liệu không chỉ là công cụ mà là phương pháp luận toàn diện.,Một lĩnh vực chỉ tập trung vào học máy,Sai: Học máy chỉ là một phần của khoa học dữ liệu.,Một công cụ để lưu trữ dữ liệu,"Sai: Lưu trữ dữ liệu là một khía cạnh nhỏ, không phải định nghĩa chính.",A,section_1.1.1.csv
28,Ứng dụng của khoa học dữ liệu có thể được triển khai trong lĩnh vực nào?,Chỉ trong kinh doanh,"Sai: Khoa học dữ liệu có ứng dụng trong nhiều lĩnh vực, không chỉ kinh doanh.",Chỉ trong khoa học máy tính,"Sai: Khoa học máy tính là một trụ cột, không phải lĩnh vực ứng dụng duy nhất.","Kinh doanh, y học, quản trị công, và hoạch định chính sách",Đúng: Khoa học dữ liệu có ứng dụng rộng khắp trong nhiều lĩnh vực.,Chỉ trong thống kê,"Sai: Thống kê là một phần, không phải toàn bộ ứng dụng.",C,section_1.1.1.csv
29,Việc thiếu kiến thức chuyên môn trong khoa học dữ liệu có thể dẫn đến gì?,Tăng tốc độ xử lý dữ liệu,Sai: Tốc độ xử lý không liên quan đến kiến thức chuyên môn.,Sai lệch trong diễn giải dữ liệu hoặc kết luận không phù hợp,Đúng: Thiếu kiến thức chuyên môn dẫn đến diễn giải sai hoặc lựa chọn mô hình không phù hợp.,Tăng độ chính xác của mô hình,Sai: Thiếu kiến thức chuyên môn làm giảm độ chính xác và phù hợp của mô hình.,Giảm yêu cầu về dữ liệu,Sai: Thiếu kiến thức chuyên môn không giảm yêu cầu về dữ liệu.,B,section_1.1.1.csv
30,Tại sao khoa học dữ liệu cần cách tiếp cận có hệ thống?,Để giảm thời gian thu thập dữ liệu,"Sai: Cách tiếp cận có hệ thống liên quan đến toàn bộ chu trình, không chỉ thu thập dữ liệu.",Để chỉ tập trung vào công cụ kỹ thuật,Sai: Khoa học dữ liệu không chỉ tập trung vào công cụ mà là toàn bộ phương pháp luận.,Để loại bỏ nhu cầu về kiến thức chuyên môn,"Sai: Kiến thức chuyên môn là cần thiết, không thể loại bỏ.",Để biến dữ liệu thô thành thông tin có ý nghĩa,"Đúng: Cách tiếp cận có hệ thống đảm bảo dữ liệu được xử lý, phân tích và áp dụng hiệu quả.",D,section_1.1.1.csv
31,Đặc thù của dữ liệu trong kinh tế và kinh doanh so với các lĩnh vực khác là gì?,"Dữ liệu phản ánh hành vi con người trong tiêu dùng, đầu tư","Đúng: Dữ liệu trong kinh tế - kinh doanh thường liên quan đến hành vi con người như tiêu dùng, đầu tư, quản trị rủi ro.",Dữ liệu có tính khách quan và ổn định,Sai: Dữ liệu kinh tế - kinh doanh chịu ảnh hưởng của kỳ vọng chủ quan và không ổn định.,Dữ liệu chủ yếu từ cảm biến và thiết bị,"Sai: Dữ liệu từ cảm biến phổ biến trong các lĩnh vực kỹ thuật, không phải kinh tế.",Dữ liệu chỉ có cấu trúc cố định,Sai: Dữ liệu kinh tế có thể là cấu trúc hoặc phi cấu trúc.,A,section_1.1.2.csv
32,Tại sao dữ liệu kinh tế - kinh doanh đòi hỏi phương pháp tiếp cận thận trọng?,Do ảnh hưởng của kỳ vọng chủ quan và thông tin bất cân xứng,"Đúng: Kỳ vọng chủ quan và thông tin bất cân xứng khiến dữ liệu dễ bị sai lệch, cần thận trọng.",Do sử dụng mô hình học sâu phức tạp,Sai: Mô hình học sâu ít được dùng trong kinh tế do yêu cầu tính giải thích.,Do dữ liệu luôn có tính ổn định cao,Sai: Dữ liệu kinh tế không ổn định do phụ thuộc vào hành vi con người.,Do không cần kiến thức chuyên môn,Sai: Kiến thức chuyên môn rất cần thiết trong kinh tế.,A,section_1.1.2.csv
33,Mô hình phân tích trong kinh tế - kinh doanh cần đảm bảo điều gì ngoài độ chính xác?,Tính phức tạp của thuật toán,Sai: Tính phức tạp không được ưu tiên; tính giải thích quan trọng hơn.,Tốc độ xử lý dữ liệu,Sai: Tốc độ xử lý không phải yếu tố chính trong kinh tế.,Khả năng giải thích và minh bạch về mặt kinh tế học,Đúng: Mô hình cần dễ hiểu và minh bạch để nhà quản lý tin dùng.,Sử dụng mô hình hộp đen,Sai: Mô hình hộp đen ít được dùng do thiếu tính giải thích.,C,section_1.1.2.csv
34,Mục tiêu tối hậu của khoa học dữ liệu trong kinh tế - kinh doanh là gì?,Tối ưu hóa hiệu quả kinh tế và nâng cao năng suất,"Đúng: Khoa học dữ liệu trong kinh tế nhằm tối ưu hóa hiệu quả, giảm rủi ro, và hỗ trợ chiến lược.",Tối ưu hóa độ chính xác của mô hình học sâu,Sai: Độ chính xác không phải mục tiêu chính; tính thực tiễn quan trọng hơn.,Loại bỏ hoàn toàn lý thuyết kinh tế,Sai: Lý thuyết kinh tế được tích hợp để tăng tính thực tiễn.,Giảm thiểu việc sử dụng dữ liệu,Sai: Khoa học dữ liệu tăng cường sử dụng dữ liệu.,A,section_1.1.2.csv
35,Khoa học dữ liệu trong kinh tế - kinh doanh thường tích hợp với mô hình nào?,Mô hình mạng nơ-ron sâu,Sai: Mạng nơ-ron sâu ít được dùng do khó giải thích.,Mô hình xử lý hình ảnh,Sai: Xử lý hình ảnh không phổ biến trong kinh tế.,Mô hình nhận diện khuôn mặt,Sai: Nhận diện khuôn mặt không liên quan đến kinh tế.,Mô hình kinh tế lượng và phân tích rủi ro tài chính,Đúng: Các mô hình này được dùng để đảm bảo tính thực tiễn và minh bạch.,D,section_1.1.2.csv
36,Bước xác định bài toán trong kinh tế - kinh doanh tập trung vào điều gì?,Hiểu môi trường kinh doanh và mục tiêu chiến lược,Đúng: Bước này yêu cầu hiểu rõ mục tiêu kinh doanh và chiến lược tổ chức.,Tối ưu hóa thuật toán học máy,Sai: Tối ưu hóa thuật toán thuộc bước xây dựng mô hình.,Thu thập dữ liệu từ cảm biến,Sai: Dữ liệu từ cảm biến không phổ biến trong kinh tế.,Làm sạch dữ liệu,Sai: Làm sạch dữ liệu thuộc bước xử lý dữ liệu.,A,section_1.1.2.csv
37,Dữ liệu trong kinh tế - kinh doanh thường ở dạng nào?,"Dữ liệu dạng bảng như danh sách khách hàng, hóa đơn","Đúng: Dữ liệu kinh tế thường ở dạng bảng biểu như khách hàng, hóa đơn, số liệu tài chính.",Dữ liệu từ cảm biến và thiết bị,"Sai: Dữ liệu từ cảm biến phổ biến trong kỹ thuật, không phải kinh tế.",Dữ liệu âm thanh và hình ảnh,Sai: Dữ liệu âm thanh và hình ảnh ít được dùng trong kinh tế.,Dữ liệu chỉ ở dạng phi cấu trúc,Sai: Dữ liệu kinh tế có thể là cấu trúc hoặc phi cấu trúc.,A,section_1.1.2.csv
38,Bước khai phá dữ liệu trong kinh tế - kinh doanh sử dụng công cụ gì?,Thống kê cơ bản để tìm xu hướng và mối quan hệ,"Đúng: Khai phá dữ liệu kinh tế dùng thống kê để tìm xu hướng, mùa vụ, và quan hệ giữa các chỉ tiêu.",Công cụ xử lý hình ảnh,Sai: Xử lý hình ảnh không phổ biến trong khai phá dữ liệu kinh tế.,Công cụ nhận diện giọng nói,Sai: Nhận diện giọng nói không liên quan đến khai phá dữ liệu kinh tế.,Mô hình học sâu,Sai: Mô hình học sâu ít được dùng do thiếu tính giải thích.,A,section_1.1.2.csv
39,Bước xử lý dữ liệu trong kinh tế - kinh doanh bao gồm hoạt động nào?,"Kiểm tra và làm sạch dữ liệu bị thiếu, sai sót","Đúng: Xử lý dữ liệu kinh tế bao gồm làm sạch, quy đổi đơn vị, và chuẩn hóa dữ liệu.",Xây dựng mô hình học máy,Sai: Xây dựng mô hình là bước sau xử lý dữ liệu.,Triển khai mô hình vào hệ thống,Sai: Triển khai là bước cuối cùng.,Thu thập dữ liệu từ API,Sai: Thu thập dữ liệu là bước trước xử lý.,A,section_1.1.2.csv
40,Mô hình nào thường được dùng trong kinh tế - kinh doanh?,Hồi quy tuyến tính và cây quyết định,"Đúng: Các mô hình này đơn giản, dễ hiểu, và phù hợp với nhà quản lý.",Mạng học sâu phức tạp,Sai: Mạng học sâu ít được dùng do khó giải thích.,Mô hình xử lý tín hiệu,Sai: Xử lý tín hiệu không phổ biến trong kinh tế.,Mô hình nhận diện khuôn mặt,Sai: Nhận diện khuôn mặt không liên quan đến kinh tế.,A,section_1.1.2.csv
41,Việc đánh giá mô hình trong kinh tế - kinh doanh cần xem xét điều gì?,Cải thiện hiệu quả kinh doanh như tăng doanh thu,"Đúng: Đánh giá mô hình cần xem xét tác động thực tế như tăng doanh thu, giảm chi phí.",Chỉ độ chính xác của mô hình,Sai: Độ chính xác không đủ; cần xem xét cả ý nghĩa thực tiễn.,Tốc độ xử lý dữ liệu,Sai: Tốc độ xử lý không phải yếu tố chính trong đánh giá.,Số lượng dữ liệu thu thập,Sai: Số lượng dữ liệu không liên quan đến đánh giá mô hình.,A,section_1.1.2.csv
42,Triển khai mô hình trong kinh tế - kinh doanh thường tích hợp vào đâu?,Hệ thống báo cáo hoặc bảng điều khiển cho lãnh đạo,Đúng: Mô hình được tích hợp vào báo cáo hoặc dashboard để hỗ trợ ra quyết định.,Hệ thống điều khiển tự động,"Sai: Hệ thống điều khiển tự động phổ biến trong kỹ thuật, không phải kinh tế.",Thiết bị cảm biến,Sai: Thiết bị cảm biến không liên quan đến triển khai trong kinh tế.,Ứng dụng nhận diện âm thanh,Sai: Nhận diện âm thanh không phổ biến trong kinh tế.,A,section_1.1.2.csv
