index,context,question,image,audio,code,A,B,C,D,correct,hint,set_question_id,tags
1,,Khoa học dữ liệu là gì ?,,,,Một lĩnh vực chỉ tập trung vào lập trình,"Lĩnh vực kết hợp toán học, khoa học máy tính và kiến thức chuyên ngành",Một ngành chỉ nghiên cứu về thống kê,Chỉ là quá trình trực quan hóa dữ liệu,b,,,
2,,Thành phần nào KHÔNG thuộc quy trình khoa học dữ liệu ?,,,,Thu thập dữ liệu,Phân tích dữ liệu,Phát triển phần cứng máy tính,Trực quan hóa dữ liệu,c,,,
3,,Khoa học dữ liệu trong kinh tế và kinh doanh khác Khoa học dữ liệu thông thường như thế nào ?,,,,Chỉ sử dụng dữ liệu tài chính,Tập trung vào tối ưu hóa mô hình học máy hơn,"Ưu tiên giải thích, ra quyết định và hiểu bản chất kinh tế",Không cần trực quan hóa dữ liệu,c,,,
4,,Lĩnh vực Kỹ thuật dữ liệu tập trung vào giải quyết bước nào trong chu trình khoa học dữ liệu ?,,,,"Tập trung vào xác định, tổ chức, và thu thập dữ liệu",Trực quan hóa dữ liệu,Tất cả các bước: từ xác định vấn đề đến truyền đạt kết quả,Đánh giá mô hình học máy,a,,,
5,,Kể chuyện bằng dữ liệu là kỹ năng quan trọng nhất của ai?,,,,Lập trình viên,Chuyên gia phân tích dữ liệu,Kỹ sư phần mềm,Kỹ sư dữ liệu,b,,,
6,,Học máy khác với lập trình truyền thống như thế nào ?,,,,Viết các câu lệnh phức tạp hơn hơn,Không cần dữ liệu đầu vào,Học từ dữ liệu thay vì được lập trình rõ ràng,Không cần kiểm thử,c,,,
7,,Các nguồn dữ liệu phổ biến trong kinh tế và kinh doanh bao gồm ?,,,,"Hệ thống ERP, CRM, dữ liệu giao dịch, dữ liệu khách hàng",Dữ liệu vật lý thiên văn,Dữ liệu gen và sinh học phân tử,Dữ liệu mạng máy tính,a,,,
8,,Tại sao mô hình học máy trong kinh tế và kinh doanh lại ưu tiên khả năng giải thích ?,,,,Vì độ chính xác luôn là thấp,Vì cần tuân thủ quy định và ra quyết định có trách nhiệm,Vì không sử dụng được trong thực tế,Vì không cần dự báo,b,,,
9,,Vai trò chính của nhà khoa học dữ liệu là gì ?,,,,Chỉ lập trình ứng dụng,"Phân tích, trích xuất và tạo giá trị từ dữ liệu",Quản lý cơ sở hạ tầng mạng,Chỉ thiết kế giao diện người dùng,b,,,
10,,Dữ liệu phi cấu trúc là gì ?,,,,Dữ liệu được tổ chức trong các bảng có hàng và cột,"Dữ liệu không có cấu trúc cố định, ví dụ: văn bản, hình ảnh, video",Dữ liệu được lưu trữ trong hệ quản trị CSDL quan hệ,Dữ liệu luôn có dạng số và dễ xử lý,b,,,
11,,Mục tiêu chính của học không giám sát là gì ?,,,,Dự đoán đầu ra từ dữ liệu đã gán nhãn,Tối ưu hóa phần thưởng thông qua hành động,"Phân nhóm, phát hiện cấu trúc ẩn trong dữ liệu",Tăng độ chính xác của mô hình học sâu,c,,,
12,,Các mô hình Học máy trong Khoa học dữ liệu được dùng để làm gì ?,,,,Tự động hóa quá trình ra quyết định dựa trên dữ liệu,Chỉ để thiết kế website,Chỉ dùng để vẽ biểu đồ dữ liệu,Tăng tốc độ truyền dữ liệu trong mạng,a,,,
13,,Python được ưa chuộng trong khoa học dữ liệu vì lý do nào ?,,,,Chỉ vì cú pháp ngắn gọn,Có nhiều thư viện hỗ trợ phân tích và học máy,Không cần học thuật toán cũng lập trình được,Chỉ chạy nhanh hơn các ngôn ngữ khác,b,,,
